,id_season,id_comp,country,name,short_name,color_primary,color_secondary
4711,1152,11,DEU,Germany,0,#ffffff,#000000
4699,25,11,CHE,Switzerland,0,#ff0000,#ffffff
4709,25,11,HUN,Hungary,0,#c61e29,#ffffff
4695,25,11,SCO,Scotland,0,#00005e,#ffffff
4698,25,11,ESP,Spain,0,#cc0000,#ffffff
4707,25,11,ITA,Italy,0,#0066ff,#ffffff
4715,25,11,HRV,Croatia,0,#ff0000,#ffffff
4690,25,11,ALB,Albania,0,#e41e20,#000000
4713,25,11,ENG,England,0,#ffffff,#cc0000
4476,25,11,DNK,Denmark,0,#cc0000,#ffffff
4484,25,11,SVN,Slovenia,0,#ffffff,#153d96
6355,1152,11,SRB,Serbia,0,#ff0033,#ffffff
4718,25,11,AUT,Austria,0,#ff0000,#ffffff
4481,25,11,FRA,France,0,#01509e,#e30613
4705,25,11,NLD,Netherlands,0,#ff6600,#281fe0
4703,25,11,POL,Poland,0,#ffffff,#ff0000
4477,25,11,ROU,Romania,0,#f7bd00,#ff0000
4717,25,11,BEL,Belgium,0,#ff0033,#000000
4697,25,11,SVK,Slovakia,0,#ffffff,#3333ff
4701,25,11,UKR,Ukraine,0,#ffcc00,#0033ff
4704,25,11,PRT,Portugal,0,#cc0000,#66cc66
4700,25,11,TUR,Türkiye,0,#ffffff,#ff0000
4763,25,11,GEO,Georgia,0,#ffffff,#ff0000
4714,25,11,CZE,Czechia,0,#cc0000,#025095
4702,25,11,WAL,Wales,0,#ff0000,#00813c
4712,25,11,FIN,Finland,0,#ffffff,#0066b3
4694,25,11,RUS,Russia,0,#e20000,#ffffff
4777,25,11,MKD,North Macedonia,0,#ff0000,#ffff00
4688,25,11,SWE,Sweden,0,#ffcc00,#0000ff
4786,25,11,NIR,Northern Ireland,0,#1c9239,#ffffff
4693,25,11,IRL,Ireland,0,#139442,#ffffff
4708,25,11,ISL,Iceland,0,#0033ff,#ffffff
4710,25,11,GRC,Greece,0,#ffffff,#005bae
4716,25,11,BGR,Bulgaria,0,#ffffff,#00924a
4706,25,11,LVA,Latvia,0,#9f2c36,#ffffff
23498,357,27,0,Yugoslavia,0,#e11302,#003893
4475,25,11,NOR,Norway,0,#ef2b2d,#001f5b
515925,27052,1,0,CIS,0,#374df5,#374df5
290288,17561,16,DEU,West Germany,0,#ffffff,#ffffff
290289,17562,16,0,USSR,0,#cc0000,#fccc00
290286,17561,16,CZE,Czechoslovakia,0,#cc0000,#ffffff
4819,1487,295,ARG,Argentina,0,#66ccff,#ffffff
4752,1154,14,CAN,Canada,0,#ff0000,#ffffff
4754,1487,295,CHL,Chile,0,#ff0000,#3300cc
4790,1487,295,PER,Peru,0,#ffffff,#cc0000
4722,1487,295,VEN,Venezuela,0,#aa0f39,#ffffff
4757,1487,295,ECU,Ecuador,0,#ffff00,#000063
4781,1154,14,MEX,Mexico,0,#1a4d3e,#960000
4769,1154,14,JAM,Jamaica,0,#ffff00,#33a64f
4725,1487,295,URY,Uruguay,0,#7eacfe,#000000
5164,10191,14,PAN,Panama,0,#cc0000,#005293
4724,1154,14,USA,USA,0,#ffffff,#ff0000
4746,1487,295,BOL,Bolivia,0,#136353,#ffffff
4820,1487,295,COL,Colombia,0,#ffd808,#000066
4748,1487,295,BRA,Brazil,0,#ffff00,#009933
4756,1154,14,CRI,Costa Rica,0,#ed1c24,#2366b3
4789,1487,295,PRY,Paraguay,0,#ff0000,#045ca3
4792,1000,308,QAT,Qatar,0,#660000,#ffffff
4770,1520,308,JPN,Japan,0,#000080,#ed1b24
7229,1154,14,HTI,Haiti,0,#3b5aa3,#be0027
4739,1002,13,SEN,Senegal,0,#ffffff,#047151
4766,1520,308,IRN,Iran,0,#ffffff,#cc0000
4834,1520,308,SAU,Saudi Arabia,0,#ffffff,#008000
4741,1000,308,AUS,Australia,0,#ffcc00,#2d324b
4729,1002,13,TUN,Tunisia,0,#ffffff,#ffffff
4778,1002,13,MAR,Morocco,0,#ff0000,#006600
4751,1002,13,CMR,Cameroon,0,#006633,#d01124
4735,1520,308,KOR,South Korea,0,#ff0000,#0000ff
4764,1002,13,GHA,Ghana,0,#ff0000,#ffff00
4758,1002,13,EGY,Egypt,0,#f00000,#ffffff
4785,1002,13,NGA,Nigeria,0,#39b54a,#ffffff
4768,1002,13,CIV,Côte d'Ivoire,0,#f77f00,#009e60
4827,1154,14,HND,Honduras,0,#ffffff,#4579a8
4479,25,11,BIH,Bosnia & Herzegovina,0,#2d4a99,#ffffff
4691,1002,13,DZA,Algeria,0,#ffffff,#23bc55
4736,1002,13,ZAF,South Africa,0,#ffd800,#008040
4784,1001,309,NZL,New Zealand,0,#ffffff,#000000
5369,1520,308,PRK,North Korea,0,#ff0000,#ff0000
5162,1154,14,TTO,Trinidad and Tobago,0,#cc0000,#000000
42499,25,11,0,Serbia & Montenegro,0,#00338d,#ff0033
4692,1002,13,AGO,Angola,0,#ff0000,#ffff00
4836,1002,13,TGO,Togo,0,#ffff00,#5cb640
4755,1000,308,CHN,China,0,#ff0000,#fff100
4727,1000,308,ARE,United Arab Emirates,0,#ff0000,#00732f
4767,1000,308,IRQ,Iraq,0,#ffffff,#108f5b
4825,1154,14,SLV,El Salvador,0,#3300ff,#ffffff
5368,1520,308,KWT,Kuwait,0,#0033ff,#ffffff
290290,17566,16,0,East Germany,0,#ffffff,#000000
419245,17566,16,0,Zaire,0,#374df5,#374df5
4480,25,11,ISR,Israel,0,#7bafde,#ffffff
44,25680,17,ENG,Liverpool,0,#cc0000,#ffffff
2817,25687,8,ESP,Barcelona,0,#154284,#9d1009
42,25680,17,ENG,Arsenal,0,#cc0000,#ffffff
2697,69619,357,ITA,Inter,0,#1a57cc,#000000
2836,69619,357,ESP,Atlético Madrid,0,#ffffff,#c40000
2681,107,35,DEU,Bayer 04 Leverkusen,0,#000000,#ff2222
1643,52327,17015,FRA,Lille,0,#df0000,#24216a
40,52327,17015,ENG,Aston Villa,0,#670e36,#94bee5
2686,85,23,ITA,Atalanta,0,#0000cc,#000000
2673,69619,357,DEU,Borussia Dortmund,0,#ffe600,#000000
2829,69619,357,ESP,Real Madrid,0,#ffffff,#004996
2672,69619,357,DEU,FC Bayern München,0,#cf142f,#ffffff
2692,85,23,ITA,Milan,0,#000000,#cc0000
2952,1711,37,NLD,PSV Eindhoven,0,#ff0000,#ffffff
1644,69619,357,FRA,Paris Saint-Germain,0,#000066,#ff1541
3006,69619,357,PRT,Benfica,0,#cc0000,#ffffff
1653,65,34,MCO,AS Monaco,0,#ffffff,#ff0000
1715,2719,34,FRA,Stade Brestois,0,#ffffff,#d20000
2959,37074,17015,NLD,Feyenoord,0,#ff0000,#ffffff
2687,69619,357,ITA,Juventus,0,#ffffff,#000000
2352,2155,679,SCO,Celtic,0,#ffffff,#009933
17,69619,357,ENG,Manchester City,0,#66ccff,#ffffff
3001,2155,679,PRT,Sporting,0,#009966,#ffffff
2888,52327,17015,BEL,Club Brugge KV,0,#0080ff,#000000
2032,52327,17015,HRV,GNK Dinamo Zagreb,0,#0b59a1,#ffffff
2677,107,35,DEU,VfB Stuttgart,0,#ffffff,#ff0000
3313,2155,679,UKR,Shakhtar Donetsk,0,#ff6600,#000000
2685,85,23,ITA,Bologna,0,#003366,#cc0000
5149,13416,679,SRB,FK Crvena zvezda,0,#d90512,#ffffff
2051,2155,679,AUT,SK Sturm Graz,0,#000000,#0000ff
2218,2155,679,CZE,AC Sparta Praha,0,#942536,#ffffff
36360,11818,35,DEU,RB Leipzig,0,#ffffff,#dd0000
24264,13662,8,ESP,Girona FC,0,#ffffff,#ff0000
