,name,slug,primary_color,secondary_color,id_pais
1,EURO,european-championship,#293cdb,#00ba5d,1465
133,Copa América,copa-america,#0A2357,#F70F17,1470
213,Supercopa de España,supercopa-de-espana,#daac6a,#4a919d,32
16,FIFA World Cup,world-championship,#d20a11,#e8bb57,1468
7,UEFA Champions League,uefa-champions-league,#062b5c,#086aab,1465
679,UEFA Europa League,uefa-europa-league,,#f37d25,1465
27,"EURO, Qualification",european-championship-qualification,#182026,#730000,1465
17,Premier League,premier-league,#3c1c5a,#f80158,1
19,FA Cup,fa-cup,#bc1821,#e60411,1
8,LaLiga,laliga,#2f4a89,#f4a32e,32
35,Bundesliga,bundesliga,#e2080e,#8e0902,30
23,Serie A,serie-a,#09519e,#008fd7,31
34,Ligue 1,ligue-1,#091c3e,#a9c011,7
37,Eredivisie,eredivisie,#292766,#7c79c3,35
21,EFL Cup,efl-cup,#203e93,#bc1723,1
10783,UEFA Nations League,uefa-nations-league,#3a4179,#e5a422,1465
325,Brasileirão Betano,brasileirao-serie-a,#C7FF00,#969696,13
17015,UEFA Conference League,uefa-europa-conference-league,,#04be15,1465
357,FIFA Club World Cup,club-world-championship,#8d1536,#0bbda4,1468
270,Africa Cup of Nations,africa-cup-of-nations,#00752e,#edc73e,1466
384,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,1470
295,World Championship Qual. CONMEBOL,world-championship-qual-conmebol,#9a1133,#c11541,1470
11,World Championship Qual. UEFA,world-championship-qual-uefa,#9a1133,#c11541,1465
373,Copa Betano do Brasil,copa-do-brasil,#34a348,#f2ba1c,13
436,Olympic Games,olympic-games,#8b2130,#b11e33,1468
1054,CAF Champions League,caf-champions-league,#ebbf03,#3a292a,1466
13,World Championship Qual. CAF ,world-championship-qual-caf,#9a1133,#c11541,1466
246,AFC Asian Cup,afc-asian-cup,#FCBD00,#FC1302,1467
390,Brasileirão Série B,brasileirao-serie-b,#3F01FF,#c5be02,13
290,FIFA Women's World Cup,world-championship-women,#3099ff,#fcc831,1468
308,World Championship Qual. AFC,world-championship-qual-afc,#9a1133,#c11541,1467
437,Olympic Games Women,olympic-games-women,#8b2130,#b11e33,1468
14,World Championship Qual. CONCACAF,world-championship-qual-concacaf,#9a1133,#c11541,1469
14602,Supercopa do Brasil,supercopa-do-brasil,#ffb100,#072a54,13
10618,"World Championship Qual., Inter-Confederation",world-championship-qual-inter-confederation,#d20a11,#e8bb57,1468
309,World Championship Qual. OFC,world-championship-qual-ofc,#9a1133,#c11541,1471
