,name,slug_name,unique_comp_id
0,"FIFA Club World Cup, Knockout stage",club-world-cup,357
1,"UEFA Euro, Women, Group B",womens-euro-group-b,477
2,"UEFA Euro, Women, Group C",womens-euro-group-c,477
3,MLS,mls,242
4,Brasileirão Série B,brasileirao-serie-b,390
5,"Primera División, Clausura",primera-division-clausura,11541
6,"LigaPro Serie A, Primera Etapa",ligapro-serie-a-primera-etapa,240
7,Premier Division,premier-division,192
8,J1 League,jleague,196
9,"Liga 1, Apertura",liga-1-apertura,406
10,USL Championship,usl-championship,13363
11,Int. Friendly Games,int-friendly-games,851
12,K-League 2,k-league-2,777
13,Copa Argentina,copa-argentina,1024
14,Vysshaya League,vysshaya-league,169
15,"Copa Division Profesional, Group A",copa-division-profesional-group-a,19891
16,"Copa Division Profesional, Group B",copa-division-profesional-group-b,19891
17,"Copa Division Profesional, Group C",copa-division-profesional-group-c,19891
18,"Copa Division Profesional, Group D",copa-division-profesional-group-d,19891
19,"Copa Paulista, Group 3",copa-paulista-group-3,10383
20,"Copa Paulista, Group 4",copa-paulista-group-4,10383
21,Chinese League 1,china-league-1,782
22,Premium Liiga,premium-liiga,178
23,Veikkausliiga,veikkausliiga,41
24,Ykkosliiga,ykkosliiga,55
25,Efsta deild,efsta-deild,188
26,First Division,first-division,193
27,J.League 2,jleague-2,402
28,Premier League,premier-league,682
29,Virsliga,virsliga,197
30,A Lyga,a-lyga,198
31,"2nd Division, Group 1",2nd-division-group-1,11085
32,USL Cup,usl-cup,150299
33,Club Friendly Games,club-friendly-games,853
34,"International Friendly Games, Women",international-friendly-games-women,852
36,"FIFA Club World Cup, Group F",fifa-club-world-cup-group-f,357
37,Brasileirão Betano,brasileirao-serie-a,325
38,"CONMEBOL Sudamericana, Group F",copa-sudamericana-group-f,480
39,Copa Betano do Brasil,copa-do-brasil,373
40,"FIFA Club World Cup, Group H",fifa-club-world-cup-group-h,357
41,Saudi Pro League,saudi-pro-league,955
42,AFC Champions League Elite,afc-champions-league,463
43,"FIFA Club World Cup, Group A",fifa-club-world-cup-group-a,357
44,"CONMEBOL Libertadores, Group G",copa-libertadores-group-g,384
45,"FIFA Club World Cup, Group D",fifa-club-world-cup-group-d,357
46,"UEFA Conference League, Knockout Phase",uefa-europa-conference-league-knockout-stage,17015
50,"UEFA Nations League, Women, League A, Gr.3",uefa-nations-league-women-league-a-gr-3,20378
51,"Women's Euro, Qualification Playoff",womens-euro-qualification-playoff,878
52,"UEFA Nations League, Women, League A, Gr.4",uefa-nations-league-women-league-a-gr-4,20378
53,"Womens Euro, Qualification Group A1",womens-euro-qualification-group-a1,878
55,"Womens Euro, Qualification Group A2",womens-euro-qualification-group-a2,878
56,"UEFA Nations League, Women, League A, Gr.1",uefa-nations-league-women-league-a-gr-1,20378
57,"UEFA Nations League, Women, League B, Gr.1",uefa-nations-league-women-league-b-gr-1,20378
59,US Open Cup,us-open-cup,495
60,CONCACAF Champions Cup,concacaf-champions-cup,498
61,Canadian Championship,canadian-championship,9230
63,"División de Honor, Apertura",division-de-honor-apertura,11540
67,Emperor Cup,emperor-cup,323
68,J. League Cup,j-league-cup,101
74,"FIFA World Cup, Qualification CAF, Group B",fifa-world-cup-qualification-caf-group-b,13
75,"Africa Cup of Nations, Qualification, Group L",africa-cup-of-nations-qualification-group-l,1848
76,"World Cup Qualification, CAF, Group G",world-cup-qualification-caf-group-g,13
77,"Africa Cup of Nations, Qualification, Group H",africa-cup-of-nations-qualification-group-h,1848
79,Korean Cup,korean-cup,615
81,"Liga Profesional de Fútbol, Apertura Playoffs",primera-lpf-apertura-playoffs,155
82,"Liga Profesional de Fútbol, Apertura",primera-lfp-apertura,155
83,"CONMEBOL Sudamericana, Group C",copa-sudamericana-group-c,480
85,Belarus Cup,cup,578
87,División Profesional,division-profesional,16736
88,"CONMEBOL Sudamericana, Group A",copa-sudamericana-group-a,480
93,"Paulista, Serie A2, Playoffs, Final",paulista-serie-a2-playoffs-final,1234
94,"Paulista, Série A2",paulista-serie-a2,1234
97,FA Cup,fa-cup,882
100,Suomen Cup,suomen-cup,220
103,Bikarinn,bikarinn,504
105,Munster Senior Cup,munster-senior-cup,24544
107,"Cup, Playoffs",cup-playoffs,749
110,LFF Cup,lff-cup,812
112,NM Cup,nm-cup,29
113,"USL, League One",usl-league-one,13362
