,id,name,id_competition,year,editor
0,69619,FIFA Club World Cup 2025,357,2025,False
1,69935,"UEFA Euro, Women 2025",477,2025,False
2,70158,MLS 2025,242,2025,False
3,72603,Brasileiro Serie B 2025,390,2025,False
4,69831,"Division de Honor, Clausura 2025",11541,2025,False
5,71184,LigaPro Primera A 2025,240,2025,False
6,69981,Premier Division 2025,192,2025,False
7,69871,J.League 2025,196,2025,False
8,70962,Liga 1 2025,406,2025,False
9,70263,USL Championship 2025,13363,2025,False
10,69578,Int. Friendly Games 2025,851,2025,False
11,71101,K-League 2 2025,777,2025,False
12,70664,Copa Argentina 2025,1024,2025,False
13,72443,Vysshaya Liga 2025,169,2025,False
14,74564,Copa Division Profesional 2025,19891,2025,False
15,75371,Copa Paulista 2025,10383,2025,False
16,72904,China League 1 2025,782,2025,False
17,71438,Premium Liiga 2025,178,2025,False
18,70853,Veikkausliiga 2025,41,2025,False
19,71183,Ykkosliiga 2025,55,2025,False
20,70501,Besta deild 2025,188,2025,False
21,69984,First Division 2025,193,2025,False
22,70418,J.League 2 2025,402,2025,False
23,72733,Premier League 2025,682,2025,False
24,72074,Virsliga 2025,197,2025,False
25,72229,A Lyga 2025,198,2025,False
26,70834,2nd Division Group 1 2025,11085,2025,False
27,75567,USL Cup,150299,2025,False
28,71012,Primera Division 2025,231,2025,False
29,69580,Club Friendly Games 2025,853,2025,False
30,69579,Int. Friendly Games W 2025,852,2025,False
32,72034,Brasileiro Serie A 2025,325,2025,False
33,70070,CONMEBOL Sudamericana 2025,480,2025,False
34,71944,Copa do Brasil 2025,373,2025,False
35,63998,Saudi Pro League 24/25,955,24/25,False
36,62485,AFC Champions League Elite 24/25,463,24/25,False
37,70083,CONMEBOL Libertadores 2025,384,2025,False
38,61648,UEFA Conference League 24/25,17015,24/25,False
39,61627,Premier League 24/25,17,24/25,False
42,69066,"UEFA Nations League, Women 2025",20378,2025,False
43,59066,"Womens Euro, Qualif. 2024",878,2024,False
44,57199,Int. Friendly Games W 2024,852,2024,False
46,71737,US Open Cup 2025,495,2025,False
47,69806,CONCACAF Champions Cup 2025,498,2025,False
48,72442,Canadian Championship 2025,9230,2025,False
50,69799,"Division de Honor, Apertura 2025",11540,2025,False
54,74217,Emperor Cup 2025,323,2025,False
55,70910,J.League Cup 2025,101,2025,False
61,56249,"FIFA World Cup, Qualification CAF 2025",13,2025,False
62,57198,Int. Friendly Games 2024,851,2024,False
63,58857,"Africa Cup of Nations, Qualification 2024",1848,2024,False
65,72722,Korea Cup 2025,615,2025,False
67,70268,Liga Profesional 2025,155,2025,False
69,61201,Belarus Cup 24/25,578,24/25,False
70,76380,Belarus Cup 25/26,578,25/26,False
72,73577,Division Profesional 2025,16736,2025,False
74,69587,"Paulista, Serie A2 2025",1234,2025,False
76,72926,FA Cup 2025,882,2025,False
78,61460,Cup 24/25,731,24/25,False
80,74299,Suomen Cup 2025,220,2025,False
83,71350,Cup 2025,504,2025,False
85,70408,24/25,24544,24/25,True
88,73951,Kazakhstan Cup 2025,749,2025,False
90,75535,Latvijas Kauss 2025,761,2025,False
92,74298,LFF Cup 2025,812,2025,False
94,73890,NM Cup 2025,29,2025,False
95,70264,USL League One 2025,13362,2025,False
97,76294,Copa Venezuela 2025,10528,2025,False
98,64052,Super League 24/25,185,24/25,False
99,62408,Premiership 24/25,36,24/25,False
