,id,name,short_name,primary_color,secondary_color,country_alpha
0,1961,Fluminense,Fluminense,#374df5,#374df5,BRA
1,21895,Al-Hilal,Al-Hilal,#374df5,#374df5,SAU
2,1963,Palmeiras,Palmeiras,#374df5,#374df5,BRA
3,38,Chelsea,Chelsea,#374df5,#374df5,ENG
4,38081,Belgium,Belgium,#374df5,#374df5,BEL
5,22025,Italy,Italy,#374df5,#374df5,ITA
6,37371,Spain,Spain,#374df5,#374df5,ESP
7,22027,Portugal,Portugal,#374df5,#374df5,PRT
8,7414,Denmark,Denmark,#374df5,#374df5,DNK
9,7423,Sweden,Sweden,#374df5,#374df5,SWE
10,23992,Germany,Germany,#374df5,#374df5,DEU
11,22026,Poland,Poland,#374df5,#374df5,POL
12,187643,New York City FC,NY City,#374df5,#374df5,USA
13,7080,Toronto FC,Toronto,#374df5,#374df5,CAN
14,2512,FC Dallas,Dallas,#374df5,#374df5,USA
15,41618,Minnesota United,Minnesota,#374df5,#374df5,USA
16,2510,Colorado Rapids,Colorado,#374df5,#374df5,USA
17,2509,Sporting Kansas City,Kansas City,#374df5,#374df5,USA
18,2513,LA Galaxy,LA Galaxy,#374df5,#374df5,USA
19,22010,Vancouver Whitecaps,Vancouver,#374df5,#374df5,CAN
20,7314,Atlético Goianiense,Atlético-GO,#374df5,#374df5,BRA
21,22032,CRB,CRB,#374df5,#374df5,BRA
22,1982,Coritiba,Coritiba,#374df5,#374df5,BRA
23,6982,Volta Redonda,Volta Redonda,#374df5,#374df5,BRA
24,292595,Recoleta FC,Recoleta,#374df5,#374df5,PRY
25,39722,Sportivo Trinidense,Trinidense,#374df5,#374df5,PRY
26,394127,Libertad,,#374df5,#374df5,ECU
27,5251,Deportivo Cuenca,Cuenca,#374df5,#374df5,ECU
28,3170,Derry City,Derry City,#374df5,#374df5,NIR
29,3194,Waterford FC,Waterford,#374df5,#374df5,IRL
30,3180,Drogheda United,Drogheda Utd,#374df5,#374df5,IRL
31,137382,Galway United,Galway Utd,#374df5,#374df5,IRL
32,3174,Shelbourne,Shelbourne,#374df5,#374df5,IRL
33,40896,Cork City,,#374df5,#374df5,IRL
34,3169,St. Patrick's Athletic,St. Patrick’s,#374df5,#374df5,IRL
35,3173,Bohemian FC,Bohemian FC,#374df5,#374df5,IRL
36,44409,Machida Zelvia,Machida Z,#374df5,#374df5,JPN
37,3133,Shimizu S-Pulse,Shimizu,#374df5,#374df5,JPN
38,34034,Fagiano Okayama,Okayama,#374df5,#374df5,JPN
39,3135,Sanfrecce Hiroshima,Hiroshima,#374df5,#374df5,JPN
40,3141,Cerezo Osaka,Cerezo Osaka,#374df5,#374df5,JPN
41,3138,Gamba Osaka,Gamba Osaka,#374df5,#374df5,JPN
42,3140,Kashiwa Reysol,Kashiwa,#374df5,#374df5,JPN
43,3147,FC Tokyo,Tokyo,#374df5,#374df5,JPN
44,5127,Kawasaki Frontale,Kawasaki,#374df5,#374df5,JPN
45,3134,Kashima Antlers,Kashima,#374df5,#374df5,JPN
46,3149,Kyoto Sanga FC,Kyoto Sanga,#374df5,#374df5,JPN
47,5128,Albirex Niigata,Albirex Niigata,#374df5,#374df5,JPN
48,3136,Nagoya Grampus,Nagoya,#374df5,#374df5,JPN
49,3139,Tokyo Verdy,Tokyo Verdy,#374df5,#374df5,JPN
50,3146,Vissel Kobe,Vissel Kobe,#374df5,#374df5,JPN
51,21905,Shonan Bellmare,Shonan,#374df5,#374df5,JPN
52,7061,Yokohama FC,Yokohama,#374df5,#374df5,JPN
53,3137,Yokohama F. Marinos,Yokohama FM,#374df5,#374df5,JPN
54,33895,Sport Huancayo,Sport Huancayo,#374df5,#374df5,PER
55,87854,Universidad Técnica de Cajamarca,UTC,#374df5,#374df5,PER
56,252254,Los Chankas CYC,Los Chankas,#374df5,#374df5,PER
57,335557,Asociación Deportiva Tarma,ADT,#374df5,#374df5,PER
