,id,name,slug_name,location_name,location_id,location_flag,sport_name
0,357,FIFA Club World Cup,club-world-championship,World,1468,international,Football
1,477,Women's Euro,womens-euro,Europe,1465,europe,Football
2,242,MLS,mls,USA,26,usa,Football
3,390,Brasileirão Série B,brasileirao-serie-b,Brazil,13,brazil,Football
4,11541,"Primera División, Clausura",primera-division-clausura,Paraguay,280,paraguay,Football
5,240,LigaPro Serie A,ligapro-serie-a,Ecuador,165,ecuador,Football
6,192,Premier Division,premier-division,Ireland,51,ireland,Football
7,196,J1 League,j1-league,Japan,52,japan,Football
8,406,Liga 1,liga-1,Peru,20,peru,Football
9,13363,USL Championship,usl-championship,USA,26,usa,Football
10,851,International Friendly Games,int-friendly-games,World,1468,international,Football
11,777,K League 2,k-league-2,South Korea,291,south-korea,Football
12,1024,Copa Argentina,copa-argentina,Argentina,48,argentina,Football
13,169,Vysshaya Liga,vysshaya-liga,Belarus,91,belarus,Football
14,19891,Copa Division Profesional,copa-division-profesional,Bolivia,379,bolivia,Football
15,10383,Copa Paulista,copa-paulista,Brazil,13,brazil,Football
16,782,Chinese League 1,cfa-china-league,China,99,china,Football
17,178,Premium Liiga,premium-liiga,Estonia,92,estonia,Football
18,41,Veikkausliiga,veikkausliiga,Finland,19,finland,Football
19,55,Ykkösliiga,ykkosliiga,Finland,19,finland,Football
20,188,Besta deild karla,besta-deild-karla,Iceland,10,iceland,Football
21,193,Ireland 1st Division,first-division,Ireland,51,ireland,Football
22,402,J2 League,j2-league,Japan,52,japan,Football
23,682,Kazakhstan Premier League,premier-league,Kazakhstan,278,kazakhstan,Football
24,197,Virsliga,virsliga,Latvia,163,latvia,Football
25,198,A Lyga,a-lyga,Lithuania,160,lithuania,Football
26,11085,"2nd Division, Group 1",2nd-division-group-1,Norway,5,norway,Football
27,150299,USL Cup,usl-cup,USA,26,usa,Football
28,231,Liga FUTVE,primera-division,Venezuela,281,venezuela,Football
29,853,Club Friendly Games,club-friendly-games,World,1468,international,Football
30,852,International Friendly Games Women,int-friendly-games-women,World,1468,international,Football
32,325,Brasileirão Betano,brasileirao-serie-a,Brazil,13,brazil,Football
33,480,CONMEBOL Sudamericana,conmebol-sudamericana,South America,1470,south-america,Football
34,373,Copa Betano do Brasil,copa-do-brasil,Brazil,13,brazil,Football
35,955,Saudi Pro League,saudi-pro-league,Saudi Arabia,310,saudi-arabia,Football
36,463,AFC Champions League Elite,afc-champions-league,Asia,1467,asia,Football
37,384,CONMEBOL Libertadores,conmebol-libertadores,South America,1470,south-america,Football
38,17015,UEFA Conference League,uefa-europa-conference-league,Europe,1465,europe,Football
39,17,Premier League,premier-league,England,1,england,Football
42,20378,UEFA Women's Nations League,uefa-nations-league-women,Europe,1465,europe,Football
43,878,"Women's Euro, Qualification",womens-euro-qualification,Europe,1465,europe,Football
45,495,US Open Cup,us-open-cup,USA,26,usa,Football
46,498,CONCACAF Champions Cup,concacaf-champions-cup,North & Central America,1469,north-and-central-america,Football
47,9230,Canadian Championship,canadian-championship,Canada,388,canada,Football
49,11540,"Primera División, Apertura",primera-division-apertura,Paraguay,280,paraguay,Football
53,323,Emperor Cup,emperor-cup,Japan,52,japan,Football
54,101,J. League Cup,j-league-cup,Japan,52,japan,Football
60,13,World Cup Qual. CAF ,world-championship-qual-caf,Africa,1466,africa,Football
61,1848,Africa Cup of Nations Qual.,africa-cup-of-nations-qual,Africa,1466,africa,Football
63,615,Korean Cup,korean-cup,South Korea,291,south-korea,Football
65,155,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,48,argentina,Football
67,578,Belarus Cup,belarus-cup,Belarus,91,belarus,Football
69,16736,División Profesional,division-profesional,Bolivia,379,bolivia,Football
71,1234,"Paulista, Série A2",paulista-serie-a2,Brazil,13,brazil,Football
73,882,CFA Cup,cfa-cup,China,99,china,Football
75,731,Eesti Karikas,eesti-karikas,Estonia,92,estonia,Football
77,220,Suomen Cup,suomen-cup,Finland,19,finland,Football
80,504,Icelandic Men's Football Cup,icelandic-mens-football-cup,Iceland,10,iceland,Football
82,24544,Munster Senior Cup,munster-senior-cup,Ireland,51,ireland,Football
85,749, Kazakhstan Cup,kazakhstan-cup,Kazakhstan,278,kazakhstan,Football
87,761,Latvijas Kauss,latvijas-kauss,Latvia,163,latvia,Football
89,812,LFF Cup,lff-cup,Lithuania,160,lithuania,Football
91,29,NM Cup,nm-cup,Norway,5,norway,Football
92,13362,USL League One,usl-league-one,USA,26,usa,Football
94,10528,Copa Venezuela,copa-venezuela,Venezuela,281,venezuela,Football
95,185,Stoiximan Super League,stoiximan-super-league,Greece,67,greece,Football
96,36,Scottish Premiership,premiership,Scotland,22,scotland,Football
97,206,Scottish Championship,championship,Scotland,22,scotland,Football
98,172,Chance Liga,1-liga,Czech Republic,18,czech-republic,Football
99,282,Czech Cup,czech-cup,Czech Republic,18,czech-republic,Football
100,76,Oddset Pokalen,oddset-pokalen,Denmark,8,denmark,Football
101,39,Danish Superliga,superliga,Denmark,8,denmark,Football
102,187,NB I,nb-i,Hungary,11,hungary,Football
103,305,Magyar Kupa,magyar-kupa,Hungary,11,hungary,Football
104,740,Azerbaijan Cup,azerbaijan-cup,Azerbaijan,297,azerbaijan,Football
105,709,Misli Premier League,misli-premier-league,Azerbaijan,297,azerbaijan,Football
106,247,Parva Liga,parva-liga,Bulgaria,78,bulgaria,Football
107,215,Swiss Super League,super-league,Switzerland,25,switzerland,Football
108,399,Schweizer Cup,schweizer-cup,Switzerland,25,switzerland,Football
109,1101,Promotion League,promotion-league,Switzerland,25,switzerland,Football
110,203,Russian Premier League,premier-liga,Russia,21,russia,Football
111,91,Russian Cup,russian-cup,Russia,21,russia,Football
112,200,NIFL Premiership,premiership,Northern Ireland,130,northern-ireland,Football
113,767,Irish Cup,irish-cup,Northern Ireland,130,northern-ireland,Football
